"年","月","日","都道府県","PCR検査陽性者数","PCR検査人数","患者数（2020年3月28日からは感染者数）","現在は入院等","退院者","死亡者"
2020,3,19,"和歌山",16,1102,14,5,8,1
2020,3,19,"鳥取",0,115,0,0,0,0
2020,3,19,"島根",0,91,0,0,0,0
2020,3,19,"岡山",0,181,0,0,0,0
2020,3,19,"広島",1,552,1,0,1,0
2020,3,19,"山口",3,164,1,1,0,0
2020,3,19,"徳島",1,83,0,0,0,0
2020,3,19,"香川",1,128,1,1,0,0
2020,3,19,"愛媛",3,181,2,1,1,0
2020,3,19,"高知",12,270,11,0,11,0
2020,3,19,"福岡",5,626,5,3,2,0
2020,3,19,"佐賀",1,100,1,1,0,0
2020,3,19,"長崎",1,213,0,0,0,0
2020,3,19,"熊本",7,467,6,6,0,0
2020,3,19,"大分",3,167,3,2,1,0
2020,3,19,"宮崎",3,170,3,3,0,0
2020,3,19,"鹿児島",0,171,0,0,0,0
2020,3,19,"沖縄",3,238,3,1,2,0
2020,3,20,"北海道",158,1652,157,82,69,6
2020,3,20,"青森",0,85,0,0,0,0
2020,3,20,"岩手",0,29,0,0,0,0
2020,3,20,"宮城",1,148,1,0,1,0
2020,3,20,"秋田",2,114,1,0,1,0
2020,3,20,"山形",0,133,0,0,0,0
2020,3,20,"福島",2,132,2,2,0,0
2020,3,20,"茨城",3,464,3,3,0,0
2020,3,20,"栃木",3,263,3,2,1,0
2020,3,20,"群馬",11,173,11,11,0,0
2020,3,20,"埼玉",41,684,38,32,6,0
2020,3,20,"千葉",41,0,39,27,12,0
2020,3,20,"東京",129,1912,123,95,31,3
2020,3,20,"神奈川",65,0,58,48,6,4
2020,3,20,"新潟",21,647,17,16,1,0
2020,3,20,"富山",0,54,0,0,0,0
2020,3,20,"石川",8,175,6,4,2,0
2020,3,20,"福井",1,97,1,1,0,0
2020,3,20,"山梨",2,337,2,2,0,0
2020,3,20,"長野",4,306,3,2,1,0
2020,3,20,"岐阜",3,279,3,2,1,0
2020,3,20,"静岡",3,0,3,2,1,0
2020,3,20,"愛知",139,847,130,111,3,16
2020,3,20,"三重",9,318,6,5,1,0
2020,3,20,"滋賀",4,144,4,4,0,0
2020,3,20,"京都",21,806,18,12,6,0
2020,3,20,"大阪",123,0,106,83,22,1
2020,3,20,"兵庫",100,1120,76,71,1,4
2020,3,20,"奈良",8,177,4,2,2,0
2020,3,20,"和歌山",17,1110,15,6,8,1
2020,3,20,"鳥取",0,115,0,0,0,0
2020,3,20,"島根",0,91,0,0,0,0
