"week","pref","pop","count"
20,"35.Yamaguchi-ken",13.7,0
20,"36.Tokushima-ken",7.36,0
20,"37.Kagawa-ken",9.62,0
20,"38.Ehime-ken",13.52,0
20,"39.Kochi-ken",7.06,0
20,"40.Fukuoka-ken",51.07,3
20,"41.Saga-ken",8.19,2
20,"42.Nagasaki-ken",13.41,0
20,"43.Kumamoto-ken",17.57,0
20,"44.Oita-ken",11.44,0
20,"45.Miyazaki-ken",10.81,0
20,"46.Kagoshima-ken",16.14,0
20,"47.Okinawa-ken",14.48,1
21,"01.Hokkaido",52.86,27
21,"02.Aomori-ken",12.63,0
21,"03.Iwate-ken",12.41,0
21,"04.Miyagi-ken",23.16,0
21,"05.Akita-ken",9.81,0
21,"06.Yamagata-ken",10.9,0
