"year","month","date","pref","testedPositive","peopleTested","hospitalized","serious","discharged","deaths"
2020,3,17,"三重",8,277,0,0,0,0
2020,3,17,"滋賀",4,124,0,0,0,0
2020,3,17,"京都",19,743,0,0,0,0
2020,3,17,"大阪",112,0,0,0,0,0
2020,3,17,"兵庫",85,951,0,0,0,0
2020,3,17,"奈良",8,153,0,0,0,0
2020,3,17,"和歌山",15,1076,0,0,0,0
2020,3,17,"鳥取",0,104,0,0,0,0
2020,3,17,"島根",0,84,0,0,0,0
2020,3,17,"岡山",0,166,0,0,0,0
2020,3,17,"広島",1,502,0,0,0,0
2020,3,17,"山口",3,149,0,0,0,0
2020,3,17,"徳島",1,79,0,0,0,0
2020,3,17,"香川",1,109,0,0,0,0
2020,3,17,"愛媛",2,167,0,0,0,0
2020,3,17,"高知",12,256,0,0,0,0
2020,3,17,"福岡",4,583,0,0,0,0
2020,3,17,"佐賀",1,85,0,0,0,0
2020,3,17,"長崎",1,179,0,0,0,0
2020,3,17,"熊本",6,393,0,0,0,0
2020,3,17,"大分",1,155,0,0,0,0
2020,3,17,"宮崎",3,129,0,0,0,0
2020,3,17,"鹿児島",0,0,0,0,0,0
2020,3,17,"沖縄",3,217,0,0,0,0
2020,3,18,"北海道",154,1587,77,0,69,6
2020,3,18,"青森",0,75,0,0,0,0
2020,3,18,"岩手",0,24,0,0,0,0
2020,3,18,"宮城",1,138,0,0,1,0
2020,3,18,"秋田",2,109,0,0,1,0
2020,3,18,"山形",0,123,0,0,0,0
2020,3,18,"福島",2,127,2,0,0,0
2020,3,18,"茨城",2,454,2,0,0,0
2020,3,18,"栃木",3,242,1,0,1,0
2020,3,18,"群馬",10,161,10,0,0,0
2020,3,18,"埼玉",34,646,28,0,4,0
2020,3,18,"千葉",33,0,22,0,9,0
2020,3,18,"東京",111,1809,79,8,30,2
2020,3,18,"神奈川",62,0,42,0,6,4
2020,3,18,"新潟",21,0,16,0,1,0
2020,3,18,"富山",0,54,0,0,0,0
2020,3,18,"石川",7,165,4,0,1,0
2020,3,18,"福井",1,92,1,0,0,0
2020,3,18,"山梨",2,325,2,0,0,0
